source,target,relations_x,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
LEUCISCUS,LEUCISCUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LOTA,LOTA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTRA,LUTRA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACCULLOCHELLA,PEELII,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AMBIGUA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACQUARIA,AUSTRALASICA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MENIDIA,BERYLLINA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MENIDIA,MENIDIA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MICROPTERUS,DOLOMIEU,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MISGURNUS,ANGUILLICAUDATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MORONE,SAXATILIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MOXOSTOMA,VALENCIENNESI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MUGIL,CEPHALUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MUSTELA,VISON,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOGOBIUS,FLUVIATILIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOCOMIS,MICROPOGON,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTROPIS,HUDSONIUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTROPIS,LUTIPINNIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTROPIS,STRAMINEUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,CLARKII,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,GORBUSCHA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KETA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KISUTCH,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,MYKISS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,NERKA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,TSHAWYTSCHA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,EPERLANUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,MORDAX,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLAVESCENS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLUVIATILIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCINA,AUROLINEATA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
