source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
FUNDULUS,HETEROCLITUS,PARENT-CHILD,9.0,12.49,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,NOTATUS,PARENT-CHILD,15.0,12.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,OLIVACEUS,PARENT-CHILD,11.0,12.73,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,SCIADICUS,PARENT-CHILD,2.0,10.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,ZEBRINUS,PARENT-CHILD,2.0,10.54,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,PARENT-CHILD,30.0,13.97,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,ARGENTEUS,PARENT-CHILD,5.0,11.32,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,FASCIATUS,PARENT-CHILD,12.0,12.35,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,MACULATUS,PARENT-CHILD,38.0,13.45,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OCCIDENTALIS,PARENT-CHILD,1.0,9.04,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,PARENT-CHILD,2.0,10.04,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,PAUCISPONDYLUS,PARENT-CHILD,1.0,9.09,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,PARENT-CHILD,40.0,13.23,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,GEISERI,PARENT-CHILD,1.0,8.47,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99.0,13.94,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,GYMNURUS,PARENT-CHILD,1.0,8.27,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
