parent,child,hits,mean,median
LEUCISCUS,IDUS,3,10.35,10.35
LUTJANUS,GRISEUS,3,13.77,13.77
LUXILUS,CHRYSOCEPHALUS,3,13.41,13.41
LUXILUS,CORNUTUS,3,13.26,13.26
MACRHYBOPSIS,MEEKI,3,13.41,13.41
MARGARISCUS,MARGARITA,3,13.99,13.99
MELANOTAENIA,FLUVIATILIS,3,8.07,8.07
METYNNIS,MACULATUS,3,10.72,10.72
MISGURNUS,FOSSILIS,3,12.26,12.26
MORONE,MISSISSIPPIENSIS,3,11.77,11.77
MORONIDAE,MORONE,3,13.26,13.26
NAMAYCUSH,WHITEFISH,3,12.68,12.68
NEOCHANNA,DIVERSUS,3,13.99,13.99
NEOGOBIUS,GYMNOTRACHELUS,3,10.16,10.16
NEOGOBIUS,KESSLERI,3,10.16,10.16
NOCOMIS,SPECIE,3,6.19,6.19
NOTEMIGONUS,CRYSOLEUCAS,3,13.77,13.77
NOTROPIS,LUTRENSIS,3,10.47,10.47
NOTROPIS,OXYRHYNCHUS,3,10.68,10.68
NOTROPIS,VENUSTUS,3,10.68,10.68
ORCONECTES,VIRILIS,3,12.41,12.41
PARR,SALMO,3,10.17,10.17
PERCH,PERCA,3,8.98,8.98
PERCINA,CAPRODES,3,11.83,11.83
PODICEPS,CRISTATUS,3,13.99,13.99
PODOSTEMUM,CERATOPHYLLUM,3,13.99,13.99
PROTERORHINUS,MARMORATUS,3,10.65,10.65
PTYCHOCHEILUS,GRANDIS,3,12.88,12.88
PUNCTATUM,PERUGIA,3,13.26,13.26
RHINOGOBIUS,GOBY,3,10.19,10.19
SALAR,LINNAEUS,3,9.31,9.31
SALARIA,FLUVIATILIS,3,8.09,8.09
SALMON,ONCORHYNCHUS,3,11.58,11.58
SALMONIDAE,SALMONIDAE,3,11.37,11.37
SALMONIDAE,UMBRIDAE,3,11.83,11.83
SCARDINIUS,ERYTHROPHTALMUS,3,11.37,11.37
SCARDINUS,ERYTHROPHTHALMUS,3,11.3,11.3
SICYDIUM,PERUGIA,3,11.58,11.58
SICYOPTERUS,AIENSIS,3,9.74,9.74
SICYOPTERUS,LARVA,3,7.61,7.61
SPECIE,ALBULA,3,8.425,8.425
SPECIE,BARBUS,3,7,7
SPECIE,CONFLUENTUS,3,8.08,8.08
SPECIE,COREGONUS,3,8.08,8.08
SPECIE,CYPRINELLA,3,9.295,9.295
SPECIE,TINCA,3,8.08,8.08
STREAM,ANOMALUM,3,12.68,12.68
STREAM,CAMPOSTOMA,3,12.68,12.68
THALASSOMA,BIFASCIATUM,3,13.99,13.99
TILAPIA,NILOTICA,3,12.41,12.41
TRICHOPTERA,TRICHOPTERA,3,11.12,11.12
TROUT,CLARKI,3,7.46,7.46
TROUT,SALVELINUS,3,10.94,10.94
