TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB frequency,both
 SPECIES,TRUCHA,PERCICHTHYS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,NIGRUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.02,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.02,WEB corpus,both,WEB frequency,both
 SPECIES,EXILE,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.22,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.22,WEB corpus,both,WEB frequency,both
 SPECIES,ZONALE,ETHEOSTOMA, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB frequency,both
 SPECIES,MACULATA,PERCINA, GENUS,VTO ontology,is_a,12.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.92,WEB corpus,both,WEB frequency,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,13.32,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.32,WEB corpus,both,WEB frequency,both
 SPECIES,CANADENSIS,SANDER, GENUS,VTO ontology,is_a,10.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.23,WEB corpus,both,WEB frequency,both
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,12.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.97,WEB corpus,both,WEB frequency,both
