parent,child,hits,score,score.1
DAPHNIA,HYALINA,1,10.3,10.3
DAPHNIA,LUMHOLTZI,1,10.3,10.3
DAPHNIA,MAGNA,3,11.77,11.77
DAPHNIA,PULEX,5,12.11,12.11
DAPHNIA,ROTIFERA,1,10.19,10.19
DICAMPTODON,ATERRIMUS,1,13.99,13.99
DICENTRARCHUS,LABRAX,4,13.99,13.99
DIET,AMBIGUA,1,11.83,11.83
DIET,MACQUARIA,1,11.83,11.83
DILUVIANA,FISH,2,9.85,9.85
DIPTERA,CHIRONOMIDAE,1,10,10
DIPTERA,CLADOCERA,1,9.91,9.91
DIPTERA,COLLEMBOLA,1,10.04,10.04
DIPTERA,DIET,1,11.41,11.41
DIPTERA,EPHEMEROPTERA,1,9.87,9.87
DIPTERA,FIG.,1,11.83,11.83
DIPTERA,HYMENOPTERA,1,9.95,9.95
DIPTERA,LAKE,1,11.54,11.54
DIPTERA,LARVA,17,10.38,10.38
DIPTERA,LEPOMIS,1,12.41,12.41
DIPTERA,MASS,1,12.41,12.41
DIPTERA,MEGALOPTERA,1,10.09,10.09
DIPTERA,SIMULIIDAE,2,11,11
DIPTERA,THYSANOPTERA,1,10.14,10.14
DIPTERA,TRICHOPTERA,2,10.44,10.44
DORADIDAE,GRANULOSUS,1,11,11
DOROSOMA,CEPEDIANUM,17,13.72,13.72
DOROSOMA,PETENENSE,4,12.29,12.29
DOROSOMA,PIMEPHALES,1,10.14,10.14
DREISSENA,BUGENSIS,2,11.14,11.14
DREISSENA,POLYMORPHA,25,13.94,13.94
DROSOPHILA,MELANOGASTER,1,13.99,13.99
DYTISCIDAE,LARVA,1,6.38,6.38
ECOLOGIA,ZOOLOGIA,1,13.99,13.99
EEL,ANGUILLA,30,12.08,12.08
EEL,AUSTRALIS,5,9.96,9.96
EEL,JAPONICA,30,12.06,12.06
EGG,OSTRACODA,1,10.91,10.91
EGRETTA,GARZETTA,3,13.99,13.99
EMPIDIDAE,CERATOPOGONIDAE,1,13.99,13.99
ENGRAULIS,ENCRASICOLUS,1,12.41,12.41
ENGRAULIS,MORDAX,4,12.24,12.24
ENTOSPHENUS,TRIDENTATUS,16,13.99,13.99
EPHEMEROPTERA,LARVA,1,6.29,6.29
EPHEMEROPTERA,LEPIDOPTERA,1,10,10
EPHEMEROPTERA,NYMPH,11,13.1,13.1
EPHEMEROPTERA,ODONATA,2,10.87,10.87
EPHEMEROPTERA,PLECOPTERA,7,12.63,12.63
EPHEMEROPTERA,SALMON,1,8.62,8.62
EPHEMEROPTERA,SIMULIIDAE,1,10.04,10.04
EPHEMEROPTERA,TRICHOPTERA,3,11.06,11.06
ERYTHROPHTHALMUS,ALBURNUS,1,9.91,9.91
ERYTHROPHTHALMUS,AURATUS,1,9.91,9.91
ERYTHROZONUS,CHARACIDAE,1,12.68,12.68
ESOCIDAE,LUCIUS,1,7.48,7.48
ESOCIDAE,SALMONIDAE,2,11.91,11.91
ESOX,AMERICANUS,1,7.34,7.34
