TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
,LONGISPINA,DAPHNIA,,,,12.38,WEB corpus,right_only
,PULEX,DAPHNIA,,,,11.74,WEB corpus,right_only
,SPP,DAPHNIA,,,,10.89,WEB corpus,right_only
,BUGENSIS,DREISSENA,,,,11.99,WEB corpus,right_only
,POLYMORPHA,DREISSENA,,,,13.88,WEB corpus,right_only
,MELANOGASTER,DROSOPHILA,,,,13.86,WEB corpus,right_only
,CANADENSIS,ELODEA,,,,13.69,WEB corpus,right_only
,TRIDENTATUS,ENTOSPHENUS,,,,13.86,WEB corpus,right_only
,PLECOPTERA,EPHEMEROPTERA,,,,13.31,WEB corpus,right_only
,TRICHOPTERA,EPHEMEROPTERA,,,,11.17,WEB corpus,right_only
,CYPRINIDAE,ESOX,,,,10.105,WEB corpus,right_only
,LAMELLATUS,EURYCERCUS,,,,13.99,WEB corpus,right_only
,SYLVATICA,FAGUS,,,,13.8,WEB corpus,right_only
,LINNAEUS,FLUVIATILIS,,,,10.71,WEB corpus,right_only
,HOLBROOKI,GAMBUSIA,,,,13.18,WEB corpus,right_only
,LACUSTRIS,GAMMARUS,,,,13.14,WEB corpus,right_only
,PULEX,GAMMARUS,,,,13,WEB corpus,right_only
,LINNAEUS,GASTEROSTEUS,,,,9.23,WEB corpus,right_only
,NEMATODA,GASTROPODA,,,,13.37,WEB corpus,right_only
,CERNUA,GYMNOCEPHALUS,,,,12.1,WEB corpus,right_only
,ANOMALA,HEMIMYSIS,,,,13.99,WEB corpus,right_only
,GIBBERUM,HOLOPEDIUM,,,,13.99,WEB corpus,right_only
,VERTICILLATA,HYDRILLA,,,,13.97,WEB corpus,right_only
,ASPIUS,LEUCISCUS,,,,10.23,WEB corpus,right_only
,LINNAEUS,LUCIUS,,,,9.305,WEB corpus,right_only
,LINNAEUS,MARINUS,,,,10.98,WEB corpus,right_only
,DOLOMIEUI,MICROPTERUS,,,,12.46,WEB corpus,right_only
,NEMATODA,MOLLUSCA,,,,12.58,WEB corpus,right_only
,THOMPSONI,MYOXOCEPHALUS,,,,11.98,WEB corpus,right_only
,EXALBESCENS,MYRIOPHYLLUM,,,,10.93,WEB corpus,right_only
,SPICATUM,MYRIOPHYLLUM,,,,13.88,WEB corpus,right_only
,DILUVIANA,MYSIS,,,,13.27,WEB corpus,right_only
,MIXTA,MYSIS,,,,11.91,WEB corpus,right_only
,RELICTA,MYSIS,,,,13.27,WEB corpus,right_only
,EDULIS,MYTILUS,,,,13.99,WEB corpus,right_only
,FONTINALIS,NAMAYCUSH,,,,9.18,WEB corpus,right_only
,ACANTHOCEPHALA,NEMATODA,,,,13.3,WEB corpus,right_only
,LUTEA,NUPHAR,,,,13.93,WEB corpus,right_only
,MYKISS,ONCHORHYNCHUS,,,,9.67,WEB corpus,right_only
,NERKA,ONCHORHYNCHUS,,,,9.25,WEB corpus,right_only
,CLARKI,ONCORHYNCHUS,,,,9.49,WEB corpus,right_only
,PROPINQUUS,ORCONECTES,,,,13.35,WEB corpus,right_only
,RUSTICUS,ORCONECTES,,,,13.22,WEB corpus,right_only
,LENIUSCULUS,PACIFASTACUS,,,,13.99,WEB corpus,right_only
,MINIBICORNIS,PARVICAPSULA,,,,13.99,WEB corpus,right_only
,LINNAEUS,PETROMYZON,,,,9.45,WEB corpus,right_only
,AUSTRALIS,PHRAGMITES,,,,11.78,WEB corpus,right_only
,TRICHOPTERA,PLECOPTERA,,,,12.51,WEB corpus,right_only
,AMERICANUS,PLEURONECTES,,,,11.88,WEB corpus,right_only
