TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,PLATYRHYNCHUS,CATOSTOMUS, GENUS,VTO ontology,is_a,10.35,WEB corpus,both
,PLUMBEUS,CATOSTOMUS,,,,12.19,WEB corpus,right_only
,SPP,CATOSTOMUS,,,,8.4,WEB corpus,right_only
,ICTALURUS,CENTRARCHIDAE,,,,13.12,WEB corpus,right_only
 GENUS,LEPOMIS,CENTRARCHIDAE, FAMILY,VTO ontology,is_a,11.83,WEB corpus,both
 GENUS,MICROPTERUS,CENTRARCHIDAE, FAMILY,VTO ontology,is_a,11.83,WEB corpus,both
,NATALIS,CENTRARCHIDAE,,,,11.83,WEB corpus,right_only
,PERCIDAE,CENTRARCHIDAE,,,,13,WEB corpus,right_only
 GENUS,POMOXIS,CENTRARCHIDAE, FAMILY,VTO ontology,is_a,11.83,WEB corpus,both
,PUNCTATUS,CENTRARCHIDAE,,,,11.83,WEB corpus,right_only
,ALBURNUS,CEPHALUS,,,,9.79,WEB corpus,right_only
,NASUS,CEPHALUS,,,,9.91,WEB corpus,right_only
,DEMERSUM,CERATOPHYLLUM,,,,13.88,WEB corpus,right_only
,EGERIA,CERATOPHYLLUM,,,,10.6,WEB corpus,right_only
,NUPHAR,CERATOPHYLLUM,,,,10.54,WEB corpus,right_only
,GASTROPODA,CERATOPOGONIDAE,,,,13.67,WEB corpus,right_only
,CHYDORUS,CERIODAPHNIA,,,,11.83,WEB corpus,right_only
,DIAPHANOSOMA,CERIODAPHNIA,,,,12.68,WEB corpus,right_only
,QUADRANGULA,CERIODAPHNIA,,,,12.68,WEB corpus,right_only
,FLUVIATILIS,CERNUA,,,,5.46,WEB corpus,right_only
,CERNUA,CERNUUS,,,,11.97,WEB corpus,right_only
,FLUVIATILIS,CERNUUS,,,,9.44,WEB corpus,right_only
,PERCA,CERNUUS,,,,9.35,WEB corpus,right_only
,PERCINA,CERNUUS,,,,11,WEB corpus,right_only
,NEMATODA,CESTODA,,,,11.14,WEB corpus,right_only
 SPECIES,MULTICINCTUS,CHAETODON, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
,PUNCTATUS,CHANNA,,,,10.49,WEB corpus,right_only
,FLAVICANS,CHAOBORUS,,,,13.83,WEB corpus,right_only
,ROTIFERA,CHAOBORUS,,,,11.99,WEB corpus,right_only
,OSTARIOPHYSI,CHARACIDAE,,,,13.41,WEB corpus,right_only
 SPECIES,FOSTERI,CHEIMARRICHTHYS, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
,AMPHIPODA,CHIRONOMIDAE,,,,11.75,WEB corpus,right_only
,ARANEIDA,CHIRONOMIDAE,,,,10.91,WEB corpus,right_only
,BAETIDAE,CHIRONOMIDAE,,,,11,WEB corpus,right_only
,BLEPHAROCERIDAE,CHIRONOMIDAE,,,,11,WEB corpus,right_only
,CULICIDAE,CHIRONOMIDAE,,,,10.91,WEB corpus,right_only
,DIPTERA,CHIRONOMIDAE,,,,11.71,WEB corpus,right_only
,HOMOPTERA,CHIRONOMIDAE,,,,10.75,WEB corpus,right_only
,HYMENOPTERA,CHIRONOMIDAE,,,,10.35,WEB corpus,right_only
,OLIGOCHAETA,CHIRONOMIDAE,,,,10.82,WEB corpus,right_only
,TRICHOPTERA,CHIRONOMIDAE,,,,10.64,WEB corpus,right_only
,GAMMARUS,CHIRONOMUS,,,,11.3,WEB corpus,right_only
,PLUMOSUS,CHIRONOMUS,,,,13.5,WEB corpus,right_only
,RIPARIUS,CHIRONOMUS,,,,12.77,WEB corpus,right_only
,SPP,CHIRONOMUS,,,,9.83,WEB corpus,right_only
 SPECIES,NASUS,CHONDROSTOMA, GENUS,VTO ontology,is_a,13.33,WEB corpus,both
,POLYLEPIS,CHONDROSTOMA,,,,10.24,WEB corpus,right_only
,SALAR,CHONDROSTOMA,,,,5.39,WEB corpus,right_only
,TOXOSTOMA,CHONDROSTOMA,,,,12.41,WEB corpus,right_only
,NEOGAEUS,CHROSOMUS,,,,13.99,WEB corpus,right_only
,CORNUTUS,CHRYSOCEPHALUS,,,,11.54,WEB corpus,right_only
,CURCULIONIDAE,CHRYSOMELIDAE,,,,13.41,WEB corpus,right_only
,PERCA,CHRYSOPS,,,,11.83,WEB corpus,right_only
,SAXATILIS,CHRYSOPS,,,,10.16,WEB corpus,right_only
,OCELLATUS,CHUATSI,,,,11.09,WEB corpus,right_only
,CRUSTACEA,CHYDORIDAE,,,,12.41,WEB corpus,right_only
,SPP,CHYDORUS,,,,10.3,WEB corpus,right_only
,HEMIPTERA,CICADELLIDAE,,,,12.41,WEB corpus,right_only
,HYMENOPTERA,CICADELLIDAE,,,,11.41,WEB corpus,right_only
,MOSSAMBICUS,CICHLIDAE,,,,10.04,WEB corpus,right_only
,LINNAEUS,CINEREA,,,,8.09,WEB corpus,right_only
,BOSMINA,CLADOCERA,,,,11.675,WEB corpus,right_only
,CALANOIDA,CLADOCERA,,,,10.6,WEB corpus,right_only
,CHYDORUS,CLADOCERA,,,,12.19,WEB corpus,right_only
,COPEPODA,CLADOCERA,,,,12.705,WEB corpus,right_only
,CRYSTALLINA,CLADOCERA,,,,10.41,WEB corpus,right_only
,DAPHNIA,CLADOCERA,,,,12.83,WEB corpus,right_only
,FOOD,CLADOCERA,,,,11.54,WEB corpus,right_only
,NUMBER,CLADOCERA,,,,11.99,WEB corpus,right_only
,ORGANISM,CLADOCERA,,,,12.68,WEB corpus,right_only
,ROTIFERA,CLADOCERA,,,,10.54,WEB corpus,right_only
,RUDD,CLADOCERA,,,,12.68,WEB corpus,right_only
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,13.98,WEB corpus,both
 SPECIES,MACROCEPHALUS,CLARIAS, GENUS,VTO ontology,is_a,9.27,WEB corpus,both
,SILURIFORMES,CLARIIDAE,,,,13.41,WEB corpus,right_only
,SALVELINUS,CLARKI,,,,11.67,WEB corpus,right_only
,SINENSIS,CLONORCHIS,,,,13.99,WEB corpus,right_only
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.97,WEB corpus,both
,LINNAEUS,CLUPEA,,,,7.32,WEB corpus,right_only
,SALMO,CLUPEA,,,,8.43,WEB corpus,right_only
,SALMONIDAE,CLUPEAFORMIS,,,,9.91,WEB corpus,right_only
,PSEUDOHARENGUS,CLUPEIDAE,,,,9.04,WEB corpus,right_only
 SPECIES,CALDERONI,COBITIS, GENUS,VTO ontology,is_a,13.21,WEB corpus,both
,SQUALIUS,COBITIS,,,,10.19,WEB corpus,right_only
 SPECIES,TAENIA,COBITIS, GENUS,VTO ontology,is_a,13.5,WEB corpus,both
,RICEI,COGNATUS,,,,12.19,WEB corpus,right_only
,CARABIDAE,COLEOPTERA,,,,10.91,WEB corpus,right_only
,DIPTERA,COLEOPTERA,,,,11.26,WEB corpus,right_only
,DYTISCIDAE,COLEOPTERA,,,,10.75,WEB corpus,right_only
,ELMIDAE,COLEOPTERA,,,,10.6,WEB corpus,right_only
,GYRINIDAE,COLEOPTERA,,,,10.82,WEB corpus,right_only
,HALIPLIDAE,COLEOPTERA,,,,10.82,WEB corpus,right_only
,HEMIPTERA,COLEOPTERA,,,,10.68,WEB corpus,right_only
,HETEROPTERA,COLEOPTERA,,,,10.6,WEB corpus,right_only
,HYDROPHILIDAE,COLEOPTERA,,,,10.91,WEB corpus,right_only
,LEPIDOPTERA,COLEOPTERA,,,,11.83,WEB corpus,right_only
,ODONATA,COLEOPTERA,,,,10.6,WEB corpus,right_only
,PLECOPTERA,COLEOPTERA,,,,9.48,WEB corpus,right_only
,TRICHOPTERA,COLEOPTERA,,,,9.61,WEB corpus,right_only
,OLIGOCHAETA,COLLEMBOLA,,,,13,WEB corpus,right_only
,PERCA,COMMERSONI,,,,12.19,WEB corpus,right_only
,COULTERII,COMMERSONII,,,,12.54,WEB corpus,right_only
,CLADOCERA,COPEPODA,,,,11.3,WEB corpus,right_only
,CRUSTACEA,COPEPODA,,,,11.19,WEB corpus,right_only
,CYCLOPOIDA,COPEPODA,,,,11.54,WEB corpus,right_only
,DECAPODA,COPEPODA,,,,11.99,WEB corpus,right_only
,MOLLUSCA,COPEPODA,,,,11.19,WEB corpus,right_only
,OSTRACODA,COPEPODA,,,,11.41,WEB corpus,right_only
,ROTIFERA,COPEPODA,,,,11.41,WEB corpus,right_only
,TRICHOPTERA,COPEPODA,,,,9.87,WEB corpus,right_only
,CLADOCERA,COPEPODS,,,,12.68,WEB corpus,right_only
 SPECIES,ALBULA,COREGONUS, GENUS,VTO ontology,is_a,12.24,WEB corpus,both
 SPECIES,ARTEDI,COREGONUS, GENUS,VTO ontology,is_a,10.67,WEB corpus,both
,ARTEDII,COREGONUS,,,,10.08,WEB corpus,right_only
 SPECIES,CLUPEAFORMIS,COREGONUS, GENUS,VTO ontology,is_a,11.99,WEB corpus,both
,COREGONUS,COREGONUS,,,,12.19,WEB corpus,right_only
 SPECIES,FONTANAE,COREGONUS, GENUS,VTO ontology,is_a,8.03,WEB corpus,both
 SPECIES,HOYI,COREGONUS, GENUS,VTO ontology,is_a,10.72,WEB corpus,both
 SPECIES,KIYI,COREGONUS, GENUS,VTO ontology,is_a,7.62,WEB corpus,both
 SPECIES,LAVARETUS,COREGONUS, GENUS,VTO ontology,is_a,13.08,WEB corpus,both
 SPECIES,MARAENA,COREGONUS, GENUS,VTO ontology,is_a,7.62,WEB corpus,both
 SPECIES,NASUS,COREGONUS, GENUS,VTO ontology,is_a,9.54,WEB corpus,both
,NERKA,COREGONUS,,,,5.58,WEB corpus,right_only
 SPECIES,OXYRINCHUS,COREGONUS, GENUS,VTO ontology,is_a,8.03,WEB corpus,both
 SPECIES,PELED,COREGONUS, GENUS,VTO ontology,is_a,7.62,WEB corpus,both
 SPECIES,PIDSCHIAN,COREGONUS, GENUS,VTO ontology,is_a,6.04,WEB corpus,both
,SALMONIDAE,COREGONUS,,,,5.95,WEB corpus,right_only
 SPECIES,SARDINELLA,COREGONUS, GENUS,VTO ontology,is_a,8.35,WEB corpus,both
,SPP,COREGONUS,,,,7.97,WEB corpus,right_only
,THYMALLUS,COREGONUS,,,,6.04,WEB corpus,right_only
,WILLIAMSONI,COREGONUS,,,,5.99,WEB corpus,right_only
 SPECIES,ZENITHICUS,COREGONUS, GENUS,VTO ontology,is_a,8.03,WEB corpus,both
,HYMENOPTERA,CORIXIDAE,,,,11.54,WEB corpus,right_only
,CYPRINIDAE,CORNUTUS,,,,11.19,WEB corpus,right_only
,COTTIDAE,COTTID,,,,13.99,WEB corpus,right_only
 GENUS,COTTUS,COTTIDAE, FAMILY,VTO ontology,is_a,13.41,WEB corpus,both
,GOBIO,COTTIDAE,,,,8.05,WEB corpus,right_only
,MORONIDAE,COTTIDAE,,,,13.41,WEB corpus,right_only
,ACULEATUS,COTTUS,,,,5.84,WEB corpus,right_only
 SPECIES,ASPER,COTTUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both
,BAIRDI,COTTUS,,,,11.99,WEB corpus,right_only
 SPECIES,BAIRDII,COTTUS, GENUS,VTO ontology,is_a,10.79,WEB corpus,both
,BELDINGI,COTTUS,,,,6.71,WEB corpus,right_only
 SPECIES,CAROLINAE,COTTUS, GENUS,VTO ontology,is_a,8.29,WEB corpus,both
 SPECIES,COGNATUS,COTTUS, GENUS,VTO ontology,is_a,12.5,WEB corpus,both
,COTTIDAE,COTTUS,,,,6.68,WEB corpus,right_only
 SPECIES,GOBIO,COTTUS, GENUS,VTO ontology,is_a,12.65,WEB corpus,both
 SPECIES,GULOSUS,COTTUS, GENUS,VTO ontology,is_a,9.23,WEB corpus,both
 SPECIES,HANGIONGENSIS,COTTUS, GENUS,VTO ontology,is_a,6.71,WEB corpus,both
 SPECIES,NOZAWAE,COTTUS, GENUS,VTO ontology,is_a,6.71,WEB corpus,both
 SPECIES,PAULUS,COTTUS, GENUS,VTO ontology,is_a,8.29,WEB corpus,both
,PERCINA,COTTUS,,,,11.41,WEB corpus,right_only
 SPECIES,PITENSIS,COTTUS, GENUS,VTO ontology,is_a,7.71,WEB corpus,both
