source,target,hits,score,score.1,Hits,Score
DIDYMOCYSTIS,SUPERPALATI,1.0,13.99,13.99,1.0,13.99
DIDYMOSPHENIA,GEMINATA,4.0,13.99,13.99,4.0,13.99
DIDYMOZOON,FACIALE,2.0,13.99,13.99,2.0,13.99
DIPLECTANUM,AEQUANS,1.0,13.99,13.99,1.0,13.99
DIPLODUS,PUNTAZZO,1.0,13.99,13.99,1.0,13.99
DIPOREIA,DECLINE,4.0,13.83,13.83,4.0,13.83
DISCUS,RUDERATUS,2.0,13.99,13.99,2.0,13.99
DIVARISCINTILLA,OCTOTENTACULATA,1.0,13.99,13.99,1.0,13.99
DOLLFUSTREMA,VANEYI,1.0,13.99,13.99,1.0,13.99
DOROSOMA,CEPEDIANUM,14.0,13.64,13.64,14.0,13.64
DORYTEUTHIS,OPALESCENS,1.0,13.99,13.99,1.0,13.99
DREISSENA,POLYMORPHA,30.0,13.84,13.84,30.0,13.84
DROSOPHILA,MELANOGASTER,5.0,13.86,13.86,5.0,13.86
ECHINOCHLOA,VOSSIA,1.0,13.99,13.99,1.0,13.99
EDWARDSIELLA,TARDA,2.0,13.99,13.99,2.0,13.99
EGERIA,DENSA,2.0,13.67,13.67,2.0,13.67
EICHORNIA,AZUREA,1.0,13.99,13.99,1.0,13.99
ELEOCHARIS,SPHACELATA,8.0,13.54,13.54,8.0,13.54
ELIMIA,LIVESCENS,1.0,13.99,13.99,1.0,13.99
ELLIPSARIA,LINEOLATA,1.0,13.99,13.99,1.0,13.99
ELVIRA,NICOLA,1.0,13.99,13.99,1.0,13.99
EMERITA,ANALOGA,2.0,13.99,13.99,2.0,13.99
ENCHELYOPUS,CIMBRIUS,2.0,13.67,13.67,2.0,13.67
ENNEACANTHUS,GLORIOSUS,1.0,13.99,13.99,1.0,13.99
ENNEAPTERYGIUS,ETHEOSTOMA,1.0,13.99,13.99,1.0,13.99
ENOPHRYS,BISON,1.0,13.99,13.99,1.0,13.99
ENTELURUS,AEQUOREUS,1.0,13.99,13.99,1.0,13.99
ENTOSPHENUS,TRIDENTATUS,5.0,13.51,13.51,5.0,13.51
EOSALMO,DRIFTWOODENSIS,5.0,13.99,13.99,5.0,13.99
EPEORUS,ALPICOLA,2.0,13.99,13.99,2.0,13.99
EPHEMERA,SIMULANS,1.0,13.99,13.99,1.0,13.99
