source,target,hits sum,score mean,score median
TRICHOPTERA,PLECOPTERA,3,11.27,11.27
TRUTTA,FONTINALIS,3,8.68,8.68
XYRAUCHEN,TEXANUS,3,13.58,13.58
ACANTHOPAGRUS,BUTCHERI,2,13,13
ACTINOPTERYGII,CYPRINIDAE,2,11.83,11.83
ACULEATUS,GASTEROSTEIDAE,2,11.91,11.91
ACULEATUS,PUNGITIUS,2,9.91,9.91
AESHNIDAE,CHIRONOMIDAE,2,12.68,12.68
ALOSA,LINNAEUS,2,7.95,7.95
AMEIURUS,CATUS,2,9.87,9.87
AMERICANUS,LUCIUS,2,7.43,7.43
AMPHIPODA,COPEPODA,2,11.19,11.19
AMPHIPODA,DIPTERA,2,11.04,11.04
ANNULARIS,NIGROMACULATUS,2,11.19,11.19
APHREDODERUS,SAYANUS,2,13.99,13.99
APOLLONIA,MELANOSTOMUS,2,9.48,9.48
ARISTICHTHYS,NOBILIS,2,12.41,12.41
BAETIDAE,PLECOPTERA,2,11,11
BAETIS,CINYGMULA,2,13.41,13.41
BALLERUS,BALLERUS,2,13.19,13.19
BOSMINA,LONGISPINA,2,11.19,11.19
BRACHYCENTRIDAE,COLEOPTERA,2,12.68,12.68
BRACHYMYSTAX,LENOK,2,13.67,13.67
CALDERONI,SQUALIUS,2,13,13
CANADENSIS,VITREUS,2,10.3,10.3
CARCINUS,MAENAS,2,13.99,13.99
CARPIODES,VELIFER,2,13.19,13.19
CATASTOMUS,COMMERSONI,2,11.09,11.09
CATOSTOMUS,DISCOBOLUS,2,9.79,9.79
CATOSTOMUS,ESOCIDAE,2,10.895,10.895
CERATOPOGONIDAE,GASTROPODA,2,13.67,13.67
CESTODA,NEMATODA,2,11.14,11.14
CHIRONOMIDAE,AMPHIPODA,2,11.75,11.75
CHIRONOMIDAE,TRICHOPTERA,2,10.64,10.64
CHRYSOPS,SAXATILIS,2,10.16,10.16
CLADOCERA,DAPHNIA,2,12.83,12.83
COGNATUS,RICEI,2,12.19,12.19
COLEOPTERA,LEPIDOPTERA,2,11.83,11.83
COMMERSONII,COULTERII,2,12.54,12.54
COPEPODA,DECAPODA,2,11.99,11.99
COTTIDAE,MORONIDAE,2,13.41,13.41
COTTUS,PITENSIS,2,7.71,7.71
COULTERII,BAIRDII,2,11.54,11.54
CRUSTACEA,COPEPODA,2,10.95,10.95
