[RF]|||161105|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161928|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161928|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161929|EXP|88|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161929|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161929|PUB|1541|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161929|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161931|EXP|88|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161931|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161931|PUB|1541|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161931|PUB|1567|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161931|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|EXP|88|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|PUB|1398|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|PUB|142|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|PUB|1486|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|PUB|1541|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161974|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|EXP|88|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10234|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10242|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10246|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10248|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10255|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10265|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10268|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10270|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10271|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|10272|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|1405|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|1559|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|1724|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|1727|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|2861|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|PUB|2939|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161989|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161990|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161990|SRC|180|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161990|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161991|PUB|1720|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161991|PUB|2108|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||161991|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||202423|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||202423|SRC|983|N|N|0||,,,,,,,,,,,,,,,,,,,,
[RF]|||331030|SRC|7|N|N|0||,,,,,,,,,,,,,,,,,,,,
