source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
LEPOMIS,HUMILIS,9.15,4.0,9.15,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MACROCHIRUS,13.25,97.0,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MARGINATUS,7.16,1.0,7.16,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MEGALOTIS,8.16,2.0,8.16,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPOMIS,MICROLOPHUS,9.94,7.0,9.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPORINUS,ELONGATUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPTOCOTTUS,ARMATUS,13.99,5.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LETHENTERON,CAMTSCHATICUM,13.26,3.0,13.26,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCASPIUS,DELINEATUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,CEPHALUS,13.36,66.0,13.36,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,IDUS,9.72,3.0,9.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCISCUS,LEUCISCUS,12.98,38.0,12.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LIMANDA,LIMANDA,13.91,8.0,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LIZA,AURATA,10.6,1.0,10.6,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LOTA,LOTA,13.96,84.0,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LOXODONTA,AFRICANA,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUCIOBARBUS,BOCAGEI,13.8,10.0,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
