TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,MARMORATUS,MELANOSTOMUS,,,11.83,2.0,11.83,WEB corpus
,NIGRUM,MICROPERCA,,,11.99,1.0,11.99,WEB corpus
,DOLOMIEUI,MICROPTERUS,,,12.46,16.0,12.46,WEB corpus
,NOBILIS,MOLITRIX,,,11.54,1.0,11.54,WEB corpus
,NEMATODA,MOLLUSCA,,,12.58,6.0,12.58,WEB corpus
,POTAMOPYRGUS,MOLLUSCA,,,13.99,2.0,13.99,WEB corpus
,PERCINA,MORDAX,,,11.54,1.0,11.54,WEB corpus
,GADIDAE,MORHUA,,,11.83,1.0,11.83,WEB corpus
,DUQUESNEI,MOXOSTOMA,,,12.49,3.0,12.49,WEB corpus
,EPHYDRIDAE,MUSCIDAE,,,13.99,1.0,13.99,WEB corpus
,THOMPSONI,MYOXOCEPHALUS,,,11.98,10.0,11.98,WEB corpus
,ALGA,MYRIOPHYLLUM,,,13.0,1.0,13.0,WEB corpus
,DETRITUS,MYRIOPHYLLUM,,,12.68,1.0,12.68,WEB corpus
,REFUGE,MYRIOPHYLLUM,,,13.0,1.0,13.0,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.88,57.0,13.88,WEB corpus
,BIVALVIA,MYSIDAE,,,11.99,1.0,11.99,WEB corpus
,DILUVIANA,MYSIS,,,13.27,13.0,13.27,WEB corpus
,MIXTA,MYSIS,,,11.91,4.0,11.91,WEB corpus
,RELICTA,MYSIS,,,13.27,13.0,13.27,WEB corpus
,EDULIS,MYTILUS,,,13.99,11.0,13.99,WEB corpus
,ACANTHOCEPHALA,NEMATODA,,,13.3,4.0,13.3,WEB corpus
,ANNELIDA,NEMATODA,,,11.67,1.0,11.67,WEB corpus
,HIRUDINEA,NEMERTEA,,,11.99,1.0,11.99,WEB corpus
,SPECTABILE,NIGRUM,,,13.41,2.0,13.41,WEB corpus
,MYRIOPHYLLUM,NITELLA,,,13.41,2.0,13.41,WEB corpus
,LUTEA,NUPHAR,,,13.93,10.0,13.93,WEB corpus
,ALBA,NYMPHAEA,,,13.77,3.0,13.77,WEB corpus
,NUPHAR,NYMPHAEA,,,12.41,1.0,12.41,WEB corpus
,VITTATUS,ODOE,,,13.0,1.0,13.0,WEB corpus
,GASTROPODA,ODONATA,,,11.99,1.0,11.99,WEB corpus
,HEMIPTERA,ODONATA,,,11.83,1.0,11.83,WEB corpus
,CHIRONOMIDAE,OLIGOCHAETA,,,11.99,2.0,11.99,WEB corpus
,HIRUDINEA,OLIGOCHAETA,,,12.09,2.0,12.09,WEB corpus
,MEGALOPTERA,OLIGOCHAETA,,,12.19,2.0,12.19,WEB corpus
,PROPINQUUS,ORCONECTES,,,13.35,8.0,13.35,WEB corpus
,RUSTICUS,ORCONECTES,,,13.22,7.0,13.22,WEB corpus
,VIRILIS,ORCONECTES,,,11.75,2.0,11.75,WEB corpus
,COLEOPTERA,ORTHOPTERA,,,12.41,2.0,12.41,WEB corpus
,HEMIPTERA,ORTHOPTERA,,,11.99,1.0,11.99,WEB corpus
,EPERLANUS,OSMERIDAE,,,13.41,1.0,13.41,WEB corpus
,CHARACIFORMES,OSTEICHTHYES,,,11.99,1.0,11.99,WEB corpus
,GOBIIDAE,OSTEICHTHYES,,,11.83,1.0,11.83,WEB corpus
,PERCIFORMES,OSTEICHTHYES,,,11.99,1.0,11.99,WEB corpus
,SCORPAENIFORMES,OSTEICHTHYES,,,12.83,2.0,12.83,WEB corpus
,CLADOCERA,OSTRACODA,,,12.41,1.0,12.41,WEB corpus
,HYDRACARINA,OSTRACODA,,,13.0,1.0,13.0,WEB corpus
,PIG,OTOLITHS,,,13.99,1.0,13.99,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.99,16.0,13.99,WEB corpus
,DECAPODA,PALAEMONIDAE,,,11.99,1.0,11.99,WEB corpus
,IDELLUS,PARVA,,,12.68,1.0,12.68,WEB corpus
,MINIBICORNIS,PARVICAPSULA,,,13.99,5.0,13.99,WEB corpus
,CONTINENTALES,PECES,,,13.99,1.0,13.99,WEB corpus
,OSMERIDAE,PECTORALIS,,,13.41,1.0,13.41,WEB corpus
,ETHEOSTOMA,PELLUCIDA,,,13.41,1.0,13.41,WEB corpus
,ABRAMIS,PERCA,,,11.54,1.0,11.54,WEB corpus
,BRAMA,PERCA,,,11.54,1.0,11.54,WEB corpus
,UMBLA,PERCA,,,11.67,1.0,11.67,WEB corpus
,FLAVESCENS,PERCH,,,12.68,1.0,12.68,WEB corpus
,GASTEROSTEIDAE,PERCIDAE,,,12.19,1.0,12.19,WEB corpus
,PERCIDAE,PERCIDAE,,,12.41,1.0,12.41,WEB corpus
,LEUCTRIDAE,PERLODIDAE,,,13.41,1.0,13.41,WEB corpus
,BARBATULUS,PHOXINUS,,,12.83,2.0,12.83,WEB corpus
,BIPUNCTATUS,PHOXINUS,,,12.68,1.0,12.68,WEB corpus
,AUSTRALIS,PHRAGMITES,,,11.78,7.0,11.78,WEB corpus
,CYPERUS,PHRAGMITES,,,13.41,1.0,13.41,WEB corpus
,SCIRPUS,PHRAGMITES,,,11.67,1.0,11.67,WEB corpus
,GYRAULUS,PHYSA,,,13.99,1.0,13.99,WEB corpus
,PLANORBIDAE,PHYSIDAE,,,13.99,1.0,13.99,WEB corpus
,NONE,PLAN,,,12.68,1.0,12.68,WEB corpus
,BIVALVIA,PLANORBIDAE,,,12.68,2.0,12.68,WEB corpus
,SPHAERIIDAE,PLANORBIDAE,,,13.0,1.0,13.0,WEB corpus
,LIMANDA,PLATESSA,,,11.67,1.0,11.67,WEB corpus
,TRICHOPTERA,PLECOPTERA,,,12.51,7.0,12.51,WEB corpus
,AMERICANUS,PLEURONECTES,,,11.88,6.0,11.88,WEB corpus
,SPILOPTERA,PLUMBEUS,,,11.99,1.0,11.99,WEB corpus
,GLOSSOSOMATIDAE,POLYCENTROPODIDAE,,,13.41,1.0,13.41,WEB corpus
,LIMNEPHILIDAE,POLYCENTROPODIDAE,,,12.68,1.0,12.68,WEB corpus
,HYDRILLA,POLYGONUM,,,13.99,1.0,13.99,WEB corpus
,PEDICULUS,POLYPHEMUS,,,13.67,2.0,13.67,WEB corpus
,CUTICOLA,POSTHODIPLOSTOMUM,,,13.99,1.0,13.99,WEB corpus
,BREVIPINNIS,POSTVECTIS,,,12.19,1.0,12.19,WEB corpus
,PERFOLIATUS,POTAMOGETON,,,13.09,4.0,13.09,WEB corpus
