TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,MOSSAMBICA,ANGUILLA, GENUS,VTO ontology,is_a,8.46,5.0,8.46,WEB corpus,both
 SPECIES,DIEFFENBACHII,ANGUILLA, GENUS,VTO ontology,is_a,10.01,15.0,10.01,WEB corpus,both
 SPECIES,MEGASTOMA,ANGUILLA, GENUS,VTO ontology,is_a,8.13,4.0,8.13,WEB corpus,both
 SPECIES,OBSCURA,ANGUILLA, GENUS,VTO ontology,is_a,8.12,4.0,8.12,WEB corpus,both
 SPECIES,JESPERSENI,SERRIVOMER, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,BATHYBIUS,HISTIOBRANCHUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,AFFINIS,SYNAPHOBRANCHUS, GENUS,VTO ontology,is_a,9.12,1.0,9.12,WEB corpus,both
 SPECIES,ABYSSALIS,MEADIA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CINEREUS,MURAENESOX, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,SCOLOPACEUS,NEMICHTHYS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,INFANS,AVOCETTINA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,CONGER,CONGER, GENUS,VTO ontology,is_a,12.09,2.0,12.09,WEB corpus,both
 SPECIES,OCEANICUS,CONGER, GENUS,VTO ontology,is_a,12.83,4.0,12.83,WEB corpus,both
 SPECIES,MYRIASTER,CONGER, GENUS,VTO ontology,is_a,13.48,7.0,13.48,WEB corpus,both
 SPECIES,LEPTURUS,UROCONGER, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,ATRUM,CYEMA, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.8,83.0,13.8,WEB corpus,both
 SPECIES,PALLASII,CLUPEA, GENUS,VTO ontology,is_a,12.13,17.0,12.13,WEB corpus,both
 SPECIES,SPRATTUS,SPRATTUS, GENUS,VTO ontology,is_a,13.96,19.0,13.96,WEB corpus,both
 SPECIES,MACULATUM,ETHMIDIUM, GENUS,VTO ontology,is_a,13.67,4.0,13.67,WEB corpus,both
 SPECIES,SAGAX,SARDINOPS, GENUS,VTO ontology,is_a,13.96,22.0,13.96,WEB corpus,both
 SPECIES,PILCHARDUS,SARDINA, GENUS,VTO ontology,is_a,13.99,9.0,13.99,WEB corpus,both
 SPECIES,SINDENSIS,SARDINELLA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MIODON,LIMNOTHRISSA, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,CHRYSOCHLORIS,ALOSA, GENUS,VTO ontology,is_a,10.09,5.0,10.09,WEB corpus,both
 SPECIES,FALLAX,ALOSA, GENUS,VTO ontology,is_a,12.32,27.0,12.32,WEB corpus,both
 SPECIES,ALOSA,ALOSA, GENUS,VTO ontology,is_a,9.815,19.0,9.815,WEB corpus,both
 SPECIES,KILLARNENSIS,ALOSA, GENUS,VTO ontology,is_a,7.81,1.0,7.81,WEB corpus,both
 SPECIES,AESTIVALIS,ALOSA, GENUS,VTO ontology,is_a,9.76,4.0,9.76,WEB corpus,both
 SPECIES,PSEUDOHARENGUS,ALOSA, GENUS,VTO ontology,is_a,13.19,59.0,13.19,WEB corpus,both
 SPECIES,SAPIDISSIMA,ALOSA, GENUS,VTO ontology,is_a,12.4,29.0,12.4,WEB corpus,both
 SPECIES,CEPEDIANUM,DOROSOMA, GENUS,VTO ontology,is_a,13.64,14.0,13.64,WEB corpus,both
 SPECIES,PETENENSE,DOROSOMA, GENUS,VTO ontology,is_a,13.0,7.0,13.0,WEB corpus,both
 SPECIES,EREBI,NEMATALOSA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,NASUS,COILIA, GENUS,VTO ontology,is_a,10.75,2.0,10.75,WEB corpus,both
 SPECIES,JAPONICUS,ENGRAULIS, GENUS,VTO ontology,is_a,10.8,3.0,10.8,WEB corpus,both
 SPECIES,ANCHOITA,ENGRAULIS, GENUS,VTO ontology,is_a,9.95,1.0,9.95,WEB corpus,both
 SPECIES,ENCRASICOLUS,ENGRAULIS, GENUS,VTO ontology,is_a,12.11,5.0,12.11,WEB corpus,both
 SPECIES,RINGENS,ENGRAULIS, GENUS,VTO ontology,is_a,11.83,4.0,11.83,WEB corpus,both
 SPECIES,MORDAX,ENGRAULIS, GENUS,VTO ontology,is_a,12.43,15.0,12.43,WEB corpus,both
 SPECIES,MITCHILLI,ANCHOA, GENUS,VTO ontology,is_a,13.99,28.0,13.99,WEB corpus,both
 ORDER,SILURIFORMES,OTOPHYSI,NAN,VTO ontology,is_a,13.71,9.0,13.71,WEB corpus,both
 SPECIES,DOCMAK,BAGRUS, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,BRACHYSOMA,HORABAGRUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,CALLICHTHYS,CALLICHTHYS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
