TAXRANK_target,target,source,TAXRANK_source,relations,score.1,Hits,Score,data_source_y
,LIBELLULIDAE,BAETIDAE,,,13.41,2.0,13.41,WEB corpus
,CINYGMULA,BAETIS,,,12.68,2.0,12.68,WEB corpus
,EPHEMERELLA,BAETIS,,,11.99,1.0,11.99,WEB corpus
,FUSCATUS,BAETIS,,,11.99,1.0,11.99,WEB corpus
,RHODANI,BAETIS,,,13.26,3.0,13.26,WEB corpus
,BAETIS,BAETODES,,,13.0,1.0,13.0,WEB corpus
,PERCINA,BAIRDI,,,11.41,1.0,11.41,WEB corpus
,MACROCHEILUS,BAIRDII,,,11.54,1.0,11.54,WEB corpus
,BALANUS,BALANUS,,,10.24,1.0,10.24,WEB corpus
,NAUPLIUS,BALANUS,,,13.96,25.0,13.96,WEB corpus
,ESOCIDAE,BALITORIDAE,,,13.0,2.0,13.0,WEB corpus
,CARASSIUS,BALLERUS,,,10.47,1.0,10.47,WEB corpus
,LOTA,BALTEATUS,,,8.52,1.0,8.52,WEB corpus
,ATLANTIC,BALTIC,,,11.41,1.0,11.41,WEB corpus
,BARBATULUS,BARBAHTLA,,,11.54,1.0,11.54,WEB corpus
,AURATUS,BARBATULA,,,8.73,1.0,8.73,WEB corpus
,LOTA,BARBATULA,,,8.5,1.0,8.5,WEB corpus
,UMBRA,BARBATUS,,,13.0,1.0,13.0,WEB corpus
,AENEUS,BARBUS,,,9.24,1.0,9.24,WEB corpus
,CARNATICUS,BARBUS,,,9.24,1.0,9.24,WEB corpus
,CEPHALUS,BARBUS,,,8.43,1.0,8.43,WEB corpus
,SHARPEYI,BARBUS,,,12.21,9.0,12.21,WEB corpus
,TICTO,BARBUS,,,9.21,1.0,9.21,WEB corpus
,SILURIDAE,BARCOO,,,13.99,1.0,13.99,WEB corpus
,BONARIENSIS,BASILICHTHYS,,,12.41,2.0,12.41,WEB corpus
,SCULPIN,BASS,,,13.41,1.0,13.41,WEB corpus
,PENICILLATUM,BATRACHIUM,,,13.19,2.0,13.19,WEB corpus
,PENNICULATUM,BATRACHIUM,,,12.41,1.0,12.41,WEB corpus
,TRICHOPHYLLUM,BATRACHIUM,,,13.19,2.0,13.19,WEB corpus
,NUPHAR,BATRACHOSPERMUM,,,13.0,1.0,13.0,WEB corpus
,PUNCTATA,BDELLOCEPHALA,,,13.26,3.0,13.26,WEB corpus
,GREENEI,BELDINGII,,,13.41,1.0,13.41,WEB corpus
,HADIATYAE,BELONIFORMES,,,12.68,1.0,12.68,WEB corpus
,ORYZIAS,BELONIFORMES,,,12.68,1.0,12.68,WEB corpus
,FILIFERA,BEMBROPS,,,13.99,1.0,13.99,WEB corpus
,MACULATUM,BENTINCKI,,,13.0,2.0,13.0,WEB corpus
,MAGISTER,BERRYTHEUTHIS,,,13.58,3.0,13.58,WEB corpus
,ERECTA,BERULA,,,13.99,1.0,13.99,WEB corpus
,SIMILIS,BESTIOLINA,,,12.68,1.0,12.68,WEB corpus
,VELLAVOLI,BICOTYLE,,,13.99,1.0,13.99,WEB corpus
,BECKII,BIDENS,,,13.99,1.0,13.99,WEB corpus
,OLIDUS,BIDYANUS,,,9.91,1.0,9.91,WEB corpus
,BULINUS,BIOMPHALARIA,,,13.99,2.0,13.99,WEB corpus
,GOBIO,BIPUNCTATUS,,,8.07,1.0,8.07,WEB corpus
,CYCLOPIDAE,BIRGEI,,,13.99,1.0,13.99,WEB corpus
,BETULARIA,BISTON,,,13.99,1.0,13.99,WEB corpus
,TENTACULATA,BITHYNIA,,,13.99,3.0,13.99,WEB corpus
,ACARI,BIVALVIA,,,11.54,1.0,11.54,WEB corpus
,ALASMIDONTA,BIVALVIA,,,13.99,1.0,13.99,WEB corpus
,DREISSENIDAE,BIVALVIA,,,12.83,2.0,12.83,WEB corpus
,MOLLUSCA,BIVALVIA,,,11.41,1.0,11.41,WEB corpus
,POLYCHAETA,BIVALVIA,,,11.83,1.0,11.83,WEB corpus
,UNIONIDAE,BIVALVIA,,,11.99,1.0,11.99,WEB corpus
,UNIONOIDA,BIVALVIA,,,11.99,1.0,11.99,WEB corpus
,CARASSIUS,BJOERKNA,,,10.41,1.0,10.41,WEB corpus
,SAPA,BJOERKNA,,,12.68,1.0,12.68,WEB corpus
,ORIENTALIS,BLATTA,,,12.41,1.0,12.41,WEB corpus
,ASAHINAI,BLATTELLA,,,13.99,1.0,13.99,WEB corpus
,SCARDINIUS,BLICCA,,,10.3,1.0,10.3,WEB corpus
,CONFUSUS,BOLBOPHORUS,,,9.75,1.0,9.75,WEB corpus
,LEVANTINUS,BOLBOPHORUS,,,13.58,3.0,13.58,WEB corpus
,EXITIOSA,BONAMIA,,,13.67,2.0,13.67,WEB corpus
,BETA,BOSC,,,13.0,1.0,13.0,WEB corpus
,2,BOSMINA,,,12.68,1.0,12.68,WEB corpus
,BIOMASS,BOSMINA,,,12.19,1.0,12.19,WEB corpus
,CERIODAPHNIA,BOSMINA,,,9.79,1.0,9.79,WEB corpus
,CHYDORUS,BOSMINA,,,11.99,5.0,11.99,WEB corpus
,COREGONI,BOSMINA,,,11.34,3.0,11.34,WEB corpus
,DAPHNIA,BOSMINA,,,9.87,1.0,9.87,WEB corpus
,HAGMANNI,BOSMINA,,,11.37,3.0,11.37,WEB corpus
,LEPTODORA,BOSMINA,,,9.83,1.0,9.83,WEB corpus
,LONGIROSTRIS,BOSMINA,,,13.23,15.0,13.23,WEB corpus
,LONGISPINA,BOSMINA,,,10.44,2.0,10.44,WEB corpus
,NUMBER,BOSMINA,,,11.99,1.0,11.99,WEB corpus
,PULEX,BOSMINA,,,10.7,3.0,10.7,WEB corpus
,TAB,BOSMINA,,,12.68,1.0,12.68,WEB corpus
,SIDIDAE,BOSMINIDAE,,,13.41,1.0,13.41,WEB corpus
,GEMINATUS,BOSQUIANUS,,,12.41,1.0,12.41,WEB corpus
,CYNOGLOSSIDAE,BOTHIDAE,,,13.99,3.0,13.99,WEB corpus
,ACHEILOGNATHI,BOTHRIOCELPHALUS,,,13.0,1.0,13.0,WEB corpus
,ACHEILOGNATHI,BOTHRIOCEPHALUS,,,13.67,2.0,13.67,WEB corpus
,ANGULARIS,BRACHIONUS,,,12.41,2.0,12.41,WEB corpus
,ASPLANCHNA,BRACHIONUS,,,11.67,1.0,11.67,WEB corpus
,CALYCIFLORUS,BRACHIONUS,,,13.19,4.0,13.19,WEB corpus
,PLICATILIS,BRACHIONUS,,,12.54,2.0,12.54,WEB corpus
,COLEOPTERA,BRACHYCENTRIDAE,,,12.83,2.0,12.83,WEB corpus
,ARCTOPSYCHE,BRACHYCENTRUS,,,13.41,2.0,13.41,WEB corpus
,DIPTERA,BRACHYCENTRUS,,,10.14,1.0,10.14,WEB corpus
,MAJIDAE,BRACHYDACTYLA,,,13.0,1.0,13.0,WEB corpus
,RERIO,BRACHYDANIO,,,12.24,4.0,12.24,WEB corpus
,COREGONUS,BRACHYMYSTAX,,,12.19,1.0,12.19,WEB corpus
,EPISCOPI,BRACHYRAPHIS,,,13.99,1.0,13.99,WEB corpus
,DECAPODA,BRACHYURA,,,11.3,1.0,11.3,WEB corpus
,GRAPSIDAE,BRACHYURA,,,13.54,4.0,13.54,WEB corpus
,MAJIDAE,BRACHYURA,,,11.67,1.0,11.67,WEB corpus
,MAJOIDEA,BRACHYURA,,,11.67,1.0,11.67,WEB corpus
,CUCULATA,BRACHYURUM,,,12.68,1.0,12.68,WEB corpus
,QUADRANGULA,BRACHYURUM,,,13.0,1.0,13.0,WEB corpus
,ASPIUS,BRAMA,,,10.41,1.0,10.41,WEB corpus
,GOBIO,BRAMA,,,8.05,1.0,8.05,WEB corpus
,FOSTERI,BREVIPINNIS,,,12.19,1.0,12.19,WEB corpus
,ABORTUS,BRUCELLA,,,13.41,1.0,13.41,WEB corpus
,OVIS,BRUCELLA,,,13.41,1.0,13.41,WEB corpus
,TRUTTAE,BRYOSALMONAE,,,9.91,1.0,9.91,WEB corpus
,INDET,BRYOZOA,,,9.24,6.0,9.24,WEB corpus
,ARTEMIA,BSN,,,13.99,1.0,13.99,WEB corpus
,CARPIO,BUBALIS,,,7.95,1.0,7.95,WEB corpus
