TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 FAMILY,SALMONIDAE,SALMONIFORMES, ORDER,VTO ontology,is_a,12.07,WEB corpus,both
 SPECIES,COULTERII,PROSOPIUM, GENUS,VTO ontology,is_a,11.83,WEB corpus,both
 SPECIES,WILLIAMSONI,PROSOPIUM, GENUS,VTO ontology,is_a,13.36,WEB corpus,both
 SPECIES,CYLINDRACEUM,PROSOPIUM, GENUS,VTO ontology,is_a,12.19,WEB corpus,both
 GENUS,COREGONUS,SALMONIDAE, FAMILY,VTO ontology,is_a,11.89,WEB corpus,both
 SPECIES,NIGRIPINNIS,COREGONUS, GENUS,VTO ontology,is_a,8.19,WEB corpus,both
 SPECIES,LAVARETUS,COREGONUS, GENUS,VTO ontology,is_a,13.02,WEB corpus,both
 SPECIES,AUTUMNALIS,COREGONUS, GENUS,VTO ontology,is_a,9.75,WEB corpus,both
 SPECIES,ARTEDI,COREGONUS, GENUS,VTO ontology,is_a,10.52,WEB corpus,both
 SPECIES,ALBULA,COREGONUS, GENUS,VTO ontology,is_a,10.28,WEB corpus,both
 SPECIES,CLUPEAFORMIS,COREGONUS, GENUS,VTO ontology,is_a,11.86,WEB corpus,both
 SPECIES,HOYI,COREGONUS, GENUS,VTO ontology,is_a,10.57,WEB corpus,both
 SPECIES,WARTMANNI,COREGONUS, GENUS,VTO ontology,is_a,8.86,WEB corpus,both
 SPECIES,SARDINELLA,COREGONUS, GENUS,VTO ontology,is_a,8.19,WEB corpus,both
 SPECIES,NASUS,COREGONUS, GENUS,VTO ontology,is_a,9.38,WEB corpus,both
 SPECIES,HUCHO,HUCHO, GENUS,VTO ontology,is_a,13.91,WEB corpus,both
 GENUS,SALMO,SALMONIDAE, FAMILY,VTO ontology,is_a,12.07,WEB corpus,both
 SPECIES,TRUTTA,SALMO, GENUS,VTO ontology,is_a,10.315,WEB corpus,both
 SPECIES,LETNICA,SALMO, GENUS,VTO ontology,is_a,6.82,WEB corpus,both
 SPECIES,OBTUSIROSTRIS,SALMO, GENUS,VTO ontology,is_a,6.55,WEB corpus,both
 SPECIES,SALAR,SALMO, GENUS,VTO ontology,is_a,10.045,WEB corpus,both
 SPECIES,NAMAYCUSH,SALVELINUS, GENUS,VTO ontology,is_a,12.24,WEB corpus,both
 SPECIES,CONFLUENTUS,SALVELINUS, GENUS,VTO ontology,is_a,9.41,WEB corpus,both
 SPECIES,ALPINUS,SALVELINUS, GENUS,VTO ontology,is_a,13.47,WEB corpus,both
 SPECIES,MALMA,SALVELINUS, GENUS,VTO ontology,is_a,10.76,WEB corpus,both
 SPECIES,FONTINALIS,SALVELINUS, GENUS,VTO ontology,is_a,12.88,WEB corpus,both
 SPECIES,CLARKII,ONCORHYNCHUS, GENUS,VTO ontology,is_a,8.01,WEB corpus,both
 SPECIES,TSHAWYTSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.69,WEB corpus,both
 SPECIES,KETA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,10.34,WEB corpus,both
 SPECIES,KISUTCH,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.98,WEB corpus,both
 SPECIES,GORBUSCHA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,10.21,WEB corpus,both
 SPECIES,MYKISS,ONCORHYNCHUS, GENUS,VTO ontology,is_a,13.34,WEB corpus,both
 SPECIES,NERKA,ONCORHYNCHUS, GENUS,VTO ontology,is_a,11.89,WEB corpus,both
 SPECIES,ARCTICUS,THYMALLUS, GENUS,VTO ontology,is_a,13.18,WEB corpus,both
